0,0.01
1,0.01
2,0.01
3,0.01
4,0.02
5,0.02
6,0.02
7,0.02
8,0.02
9,0.02
10,0.02
11,0.02
12,0.02
13,0.03
14,0.03
15,0.03
16,0.03
17,0.03
18,0.04
19,0.04
20,0.04
21,0.04
22,0.05
23,0.05
24,0.05
25,0.06
26,0.06
27,0.06
28,0.07
29,0.07
30,0.08
31,0.08
32,0.08
33,0.09
34,0.09
35,0.10
36,0.10
37,0.11
38,0.11
39,0.12
40,0.12
41,0.13
42,0.14
43,0.14
44,0.15
45,0.15
46,0.16
47,0.17
48,0.17
49,0.18
50,0.19
51,0.19
52,0.20
53,0.21
54,0.22
55,0.22
56,0.23
57,0.24
58,0.25
59,0.26
60,0.26
61,0.27
62,0.28
63,0.29
64,0.30
65,0.31
66,0.32
67,0.33
68,0.34
69,0.35
70,0.36
71,0.37
72,0.38
73,0.39
74,0.40
75,0.41
76,0.42
77,0.43
78,0.44
79,0.45
80,0.46
81,0.48
82,0.49
83,0.50
84,0.51
85,0.52
86,0.54
87,0.55
88,0.56
89,0.58
90,0.59
91,0.60
92,0.61
93,0.63
94,0.64
95,0.66
96,0.67
97,0.68
98,0.70
99,0.71
100,0.73
101,0.74
102,0.76
103,0.77
104,0.79
105,0.80
106,0.82
107,0.83
108,0.85
109,0.87
110,0.88
111,0.90
112,0.92
113,0.93
114,0.95
115,0.97
116,0.98
117,1.00
118,1.02
119,1.04
120,1.06
121,1.07
122,1.09
123,1.11
124,1.13
125,1.15
126,1.17
127,1.19
128,1.21
129,1.23
130,1.25
131,1.27
132,1.29
133,1.31
134,1.33
135,1.35
136,1.37
137,1.39
138,1.41
139,1.43
140,1.45
141,1.47
142,1.50
143,1.52
144,1.54
145,1.56
146,1.59
147,1.61
148,1.63
149,1.66
150,1.68
151,1.70
152,1.73
153,1.75
154,1.77
155,1.80
156,1.82
157,1.85
158,1.87
159,1.90
160,1.92
161,1.95
162,1.97
163,2.00
164,2.03
165,2.05
166,2.08
167,2.10
168,2.13
169,2.16
170,2.19
171,2.21
172,2.24
173,2.27
174,2.30
175,2.32
176,2.35
177,2.38
178,2.41
179,2.44
180,2.47
181,2.50
182,2.53
183,2.56
184,2.59
185,2.62
186,2.65
187,2.68
188,2.71
189,2.74
190,2.77
191,2.80
192,2.83
193,2.86
194,2.90
195,2.93
196,2.96
197,2.99
198,3.03
199,3.06
200,3.09
201,3.13
202,3.16
203,3.19
204,3.23
205,3.26
206,3.30
207,3.33
208,3.37
209,3.40
210,3.44
211,3.47
212,3.51
213,3.54
214,3.58
215,3.62
216,3.65
217,3.69
218,3.73
219,3.77
220,3.80
221,3.84
222,3.88
223,3.92
224,3.96
225,3.99
226,4.03
227,4.07
228,4.11
229,4.15
230,4.19
231,4.23
232,4.27
233,4.31
234,4.35
235,4.39
236,4.43
237,4.48
238,4.52
239,4.56
240,4.60
241,4.64
242,4.69
243,4.73
244,4.77
245,4.82
246,4.86
247,4.90
248,4.95
249,4.99
250,5.03
251,5.08
252,5.12
253,5.17
254,5.22
255,5.26
256,5.31
257,5.35
258,5.40
259,5.45
260,5.49
261,5.54
262,5.59
263,5.64
264,5.68
265,5.73
266,5.78
267,5.83
268,5.88
269,5.93
270,5.98
271,6.03
272,6.08
273,6.13
274,6.18
275,6.23
276,6.28
277,6.33
278,6.38
279,6.43
280,6.48
281,6.54
282,6.59
283,6.64
284,6.69
285,6.75
286,6.80
287,6.86
288,6.91
289,6.96
290,7.02
291,7.07
292,7.13
293,7.18
294,7.24
295,7.30
296,7.35
297,7.41
298,7.46
299,7.52
300,7.58
301,7.64
302,7.69
303,7.75
304,7.81
305,7.87
306,7.93
307,7.99
308,8.05
309,8.11
310,8.17
311,8.23
312,8.29
313,8.35
314,8.41
315,8.47
316,8.53
317,8.60
318,8.66
319,8.72
320,8.78
321,8.85
322,8.91
323,8.97
324,9.04
325,9.10
326,9.17
327,9.23
328,9.30
329,9.36
330,9.43
331,9.50
332,9.56
333,9.63
334,9.70
335,9.76
336,9.83
337,9.90
338,9.97
339,10.04
340,10.10
341,10.17
342,10.24
343,10.31
344,10.38
345,10.45
346,10.52
347,10.60
348,10.67
349,10.74
350,10.81
351,10.88
352,10.96
353,11.03
354,11.10
355,11.17
356,11.25
357,11.32
358,11.40
359,11.47
360,11.55
361,11.62
362,11.70
363,11.77
364,11.85
365,11.93
366,12.00
367,12.08
368,12.16
369,12.24
370,12.32
371,12.39
372,12.47
373,12.55
374,12.63
375,12.71
376,12.79
377,12.87
378,12.95
379,13.04
380,13.12
381,13.20
382,13.28
383,13.36
384,13.45
385,13.53
386,13.61
387,13.70
388,13.78
389,13.87
390,13.95
391,14.04
392,14.12
393,14.21
394,14.30
395,14.38
396,14.47
397,14.56
398,14.64
399,14.73
400,14.82
401,14.91
402,15.00
403,15.09
404,15.18
405,15.27
406,15.36
407,15.45
408,15.54
409,15.63
410,15.72
411,15.82
412,15.91
413,16.00
414,16.10
415,16.19
416,16.28
417,16.38
418,16.47
419,16.57
420,16.66
421,16.76
422,16.86
423,16.95
424,17.05
425,17.15
426,17.24
427,17.34
428,17.44
429,17.54
430,17.64
431,17.74
432,17.84
433,17.94
434,18.04
435,18.14
436,18.24
437,18.34
438,18.45
439,18.55
440,18.65
441,18.75
442,18.86
443,18.96
444,19.07
445,19.17
446,19.28
447,19.38
448,19.49
449,19.59
450,19.70
451,19.81
452,19.92
453,20.02
454,20.13
455,20.24
456,20.35
457,20.46
458,20.57
459,20.68
460,20.79
461,20.90
462,21.01
463,21.12
464,21.24
465,21.35
